Group Description Title,Group Code
"Crop And Animal Production, Hunting And Related Service Activities",01
Forestry And Logging,02
Fishing And Aquaculture,03
Mining Of Coal And Lignite,05
Extraction Of Crude Petroleum And Natural Gas,06
Mining Of Metal Ores,07
Other Mining And Quarrying,08
Mining Support Service Activities,09
Manufacture Of Food Products,10
Manufacture Of Beverages,11
Manufacture Of Tobacco Products,12
Manufacture Of Textiles,13
Manufacture Of Wearing Apparel,14
Manufacture Of Leather And Related Products,15
"Manufacture Of Wood And Of Products Of Wood And Cork, Except Furniture; Manufacture Of Articles Of Bamboo, Cane, Rattan And The Like; Manufacture Of Articles Of Straw And Plaiting Materials",16
Manufacture Of Paper And Paper Products,17
Printing And Reproduction Of Recorded Media,18
Manufacture Of Coke And Refined Petroleum Products,19
Manufacture Of Chemicals And Chemical Products,20
Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,21
Manufacture Of Rubber And Plastic Products,22
Manufacture Of Other Non-Metallic Mineral Products,23
Manufacture Of Basic Metals,24
"Manufacture Of Fabricated Metal Products, Except Machinery And Equipment",25
"Manufacture Of Computer, Electronic And Optical Products",26
Manufacture Of Electrical Equipment,27
"Manufacture Of Machinery And Equipment, NEC",28
"Manufacture Of Motor Vehicles, Trailers And Semi-Trailers",29
Manufacture  Of Other Transport Equipment,30
Manufacture Of Furniture,31
Other Manufacturing,32
Repair And Installation Of Machinery And Equipment,33
"Electricity, Gas, Steam And Air Conditioning Supply",35
"Water Collection, Treatment and Supply",36
Sewerage,37
"Waste Collection, Treatment and Disposal Activities; Materials Recovery",38
Remediation Activities and Other Waste Management Services,39
Construction of Buildings,41
Civil Engineering,42
Specialized Construction Activities,43
Wholesale and Retail Trade and Repair of Motor Vehicles and Motorcycles,45
"Wholesale Trade, Except of Motor Vehicles and Motorcycles",46
"Retail Trade, Except of Motor Vehicles and Motorcycles",47
Land Transport and Transport Via Pipelines,49
Water Transport,50
Air Transport,51
Warehousing and Support Activities for Transportation,52
Postal and Courier Activities,53
Accommodation,55
Food and Beverage Service Activities,56
Publishing Activities,58
"Motion Picture, Video and Television Programme Production, Sound Recording and Music Publishing Activities",59
Programming and  Broadcasting  Activities,60
Telecommunications,61
"Computer Programming, Consultancy and Related Activities",62
Information Service Activities,63
"Financial Service Activities, Except Insurance and Pension Funding",64
"Insurance, Reinsurance and Pension Funding, Except Compulsory Social Security",65
Activities Auxiliary to Financial Service and Insurance Activities,66
Real Estate Activities,68
Legal and Accounting Activities,69
Activities of Head Offices; Management Consultancy Activities,70
Architectural and Engineering Activities;  Technical Testing and Analysis,71
Scientific Research and Development,72
Advertising and Market Research,73
"Other Professional, Scientific and Technical Activities",74
Veterinary Activities,75
Rental and Leasing Activities,77
Employment Activities,78
"Travel Agency, Tour Operator, Reservation Service and Related Activities",79
Security and Investigation Activities,80
Services to Buildings and Landscape Activities,81
"Office Administrative, Office Support and Other Business Support Activities",82
Public Administration and Defense; Compulsory Social Security,84
Education,85
Human Health Activities,86
Residential Care Activities,87
Social Work Activities Without Accommodation,88
"Creative, Arts and Entertainment Activities",90
"Libraries, Archives, Museums and Other Cultural Activities",91
Gambling and Betting Activities,92
Sports Activities and Amusement and Recreation Activities,93
Activities of Membership Organizations,94
Repair of Computers and Personal and Household Goods,95
Other Personal Service Activities,96
Activities of Households as Employers of Domestic Personnel,97
Undifferentiated Goods-and Services-Producing Activities of Private Households for Own Use,98
Activities of Extra-Territorial Organizations and Bodies,99
