Group Description,Group Code
"Growing of non-perennial crops

This group includes the growing of non-perennial crops, i.e. plants that do not last for more than two growing seasons. Included is the growing of these plants for the purpose of seed production.",011
"Growing of perennial crops

This group includes the growing of perennial crops, i.e. plants that last for more than two growing seasons, either each season or growing continuously. Included is the growing of these plants for the purpose of seed production.",012
Plant propagation,013
"Animal production

This group includes raising (farming) and breeding of all animals, except aquatic animals.It includes raising (farming) of domestic animals, such as carabao, cattle, sheep, goats, deer, horses, asses, mules or hinnies, etc.; raising (farming) of poultry such as chicken, ducks, quails, etc., provision of feed lot services; production of raw milk, bovine semen; production of butter, cheese, other dairy products in the farm; sheep shearing by the sheep owner; and stud farming.",014
"Support activities to agriculture and post-harvest crop activities

This group includes activities incidental to agricultural production and activities similar to agriculture not undertaken for production purposes, done on a fee or contract basis. Also included are post-harvest crop activities, aimed at preparing agricultural products for the primary market.",015
"Hunting, trapping and related service activities",017
"Silviculture and other forestry activities

This class includes :
Growing of standing timber : planting, replanting, transplanting, thinning and conserving of forests and timber tracts
Growing of coppice, pulpwood and fire wood
Operation of forest tree nurseries
These activities can be carried out in natural or planted forests.
This class excludes :
Growing of Christmas tree, see 0129;
Gathering of wild growing non-wood forest products, see 0230;
Production of wood chips and particles, see 1610.",021
Logging,022
Gathering of non-wood forest products,023
Support services to forestry,024
"Fishing

This group includes capture fishery, i.e. the hunting, collecting and gathering activities directed at removing or collecting live wild aquatic organisms (predominantly fish, mollusks and crustaceans) including plants from the oceanic, coastal or inland waters for human consumption and other purposes by hand or more usually by various types of fishing gear such as nets, lines and stationary traps. Such activities can be conducted on the intertidal shoreline (e.g. collection of mollusks such as mussels and oysters) or shore based netting, or from home-made dugouts or more commonly using commercially made boats in inshore, coastal waters or offshore waters.
Unlike in aquaculture (group 032), the aquatic resource being captured is usually common property resource irrespective of whether the harvest from this resource is undertaken with or without exploitation rights. Such activities also include fishing restocked water bodies.",031
"Aquaculture

This group includes aquaculture (or aquafarming), i.e. the production process involving the culturing or farming (including harvesting) of aquatic organisms (fish, mollusks, crustaceans, plants, crocodile, alligators and amphibians) using techniques designed to increase the production of the organisms in question beyond the natural capacity of the environment (for example regular stocking, feeding and protection from predators).
Culturing/farming refers to the rearing up to their juvenile and/or adult phase under captive conditions of the above organisms. In addition, aquaculture also encompasses individual, corporate or state ownership of the individual organisms throughout the rearing or culture stage, up to and including harvesting.",032
Mining of hard coal,051
Mining of lignite,052
Extraction of crude petroleum,061
Extraction of natural gas,062
Mining of iron ores,071
"Mining of non-ferrous metal ores

This group includes mining and preparation of non-ferrous metal ores.",072
"Quarrying of stone, sand and clay",081
"Mining and quarrying, n.e.c.",089
Support activities for petroleum and gas extraction,091
Support activities for other mining and quarrying,099
Processing and preserving of meat,101
"Processing and preserving of fish, crustaceans and mollusks",102
Processing and preserving of fruits and vegetables,103
