Group Description,Group Code
"Growing of leguminous crops such as: mongo, string beans (sitao), pigeon peas, gisantes, garbanzos, bountiful beans (habichuelas), peas (sitsaro)",01111
Growing of groundnuts,01112
"Growing of oil seeds (except groundnuts) such as soya beans, sunflower and growing of other oil seeds, n.e.c.",01113
"Growing of  sorghum, wheat",01114
"Growing of other cereals (except rice and corn), leguminous crops and oil seeds, n.e.c.",01119
"Growing of paddy rice, lowland, irrigated",01121
"Growing of paddy rice, lowland, rainfed",01122
"Growing of paddy rice, upland/kaingin",01123
"Growing of corn, except young corn (vegetable)",01130
Growing of sugarcane including muscovado sugar-making in the farm,01140
Growing of virginia tobacco including flue-curing done in the farm,01151
Growing of native tobacco including flue-curing done in the farm,01152
Growing of abaca,01161
Growing of cotton,01162
Growing of kapok,01163
Growing of maguey,01164
Growing of ramie,01165
Growing of piña,01166
Growing of jute,01167
Growing of kenaf,01168
"Growing of other fiber crops, n.e.c.",01169
"Growing of leafy and stem vegetables such as : cabbage, broccoli, cauliflower, lettuce, asparagus, pechay, kangkong and other leafy or stem vegetables",01171
"Growing of fruit bearing vegetables such as: tomato, eggplant, cucumber, ampalaya, squash, gourd and other fruit bearing vegetables, n.e.c.",01172
"Growing of other leafy and fruit bearing vegetables, n.e.c.",01179
Growing of onion,01181
Growing of garlic,01182
Growing of carrot,01183
Growing of potato,01184
Growing of cassava,01185
Growing of sweet potato (camote),01186
Growing of  melons and watermelons,01187
Growing of yams (ube),01188
"Growing of other roots, bulbs, tuberous crops and vegetables including mushroom",01189
Growing of orchids,01191
"Growing of flowers or flower buds, (except orchids), cut flowers",01192
Production or growing of horticultural specialties including nursery products and ornamental plants,01193
"Growing of plant materials used chiefly in medicinal/ pharmaceutical or for insecticidal, fungicidal or similar purposes",01194
"Growing of crops chiefly for construction, furniture and other purposes (e.g., bamboo, buri, nipa, etc.)",01195
Growing of forage crops and other grasses,01196
"Growing of other non-perennial crops, n.e.c.",01199
"Growing of banana, cavendish",01211
Growing of other banana,01212
Growing of pineapple,01220
Growing of calamansi,01231
Growing of dalandan,01232
Growing of mandarin (dalanghita),01233
Growing of pomelo (suha),01234
"Growing of citrus fruits, n.e.c.",01235
Growing of mango,01240
Growing of papaya,01250
"Growing of coconut, including copra-making, tuba gathering and coco-shell charcoal and coconut sap syrup making in the farm",01260
Growing of coffee plant,01271
Growing of cacao,01272
Growing of tea plant,01273
Growing of other beverage crops,01279
"Growing of perennial spices and aromatic crops such as: ginger, pepper,  chili, achuete, laurel, etc.",01281
"Growing of plants used primarily  in medical/ pharmaceutical purposes such as : lagundi, banaba, ginseng, oregano, etc.",01282
"Growing of plants for insecticidal, fungicidal or similar purposes",01283
Growing of crops used primarily in perfumery or similar purposes,01284
"Growing of other spices, aromatic, drug and pharmaceutical crops, n.e.c.",01289
"Growing of  other  tropical fruits, e.g. jackfruit, guavas, avocados, lanzones, durian, rambutan, chico, atis, mangosteen, makopa, dragon fruit etc.",01291
"Growing of perennial trees with edible  nuts, e.g. pili nuts, cashew nuts, etc",01292
Growing of rubber tree,01293
Growing of jatropha tree,01294
"Growing of ornamental or decorative trees such as Christmas or pine trees, fire trees, etc.",01295
"Growing of oleaginous fruits, except coconut",01296
"Growing of bush fruits, including strawberries",01297
"Growing of other fruits and perennial crops, n.e.c.",01299
"Plant propagation

This class includes the production of vegetative planting materials including cuttings, suckers and seedlings for direct plant propagation or to create plant grafting stock into which selected scion is grafted for eventual planting to produce crops.",01300
Beef cattle farming (including feed lot fattening),01411
Carabao farming,01412
"Raising of horses and other equines

This class includes raising and breeding of horses (including racing horses), asses, mules or hinnies.",01420
"Dairy farming

This class includes processing of dairy products done in the farm such as milk, butter, cottage, cheese, etc.",01430
Sheep farming including sheep shearing by the owner,01441
Goat farming,01442
Deer faming,01443
Hog raising,01450
